,City,Country,Date,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
123,hokitika,CA,1612650323,70.4692,-68.5914,-13.0,84,1,2.3
124,hokitika,BB,1612650323,13.2167,-59.5167,78.8,69,20,18.41
125,hokitika,NE,1612650324,13.5137,2.1098,78.8,15,76,2.3
126,hokitika,BR,1612650149,-6.9811,-34.8339,80.6,78,20,5.75
127,hokitika,MU,1612650175,-20.4081,57.7,78.8,78,40,4.61
128,hokitika,CM,1612650324,10.7398,13.8019,65.82,27,1,4.23
129,hokitika,BR,1612650326,-30.1811,-50.2056,72.66,74,14,5.91
130,hokitika,RU,1612650326,58.0006,102.6619,10.9,95,100,6.55
131,hokitika,IS,1612650326,63.8424,-22.4338,32.0,74,0,18.41
132,hokitika,CA,1612650327,68.2191,-135.0107,-20.2,76,90,3.44
133,hokitika,CD,1612650327,1.2391,23.616,75.43,58,4,2.75
134,hokitika,US,1612650327,21.3156,-158.0072,77.0,50,40,12.66
135,hokitika,RU,1612650328,61.0749,50.1031,-6.07,89,100,11.61
136,hokitika,AR,1612650328,-38.0023,-57.5575,66.99,68,20,12.66
137,hokitika,PT,1612650329,32.6667,-17.1,54.0,67,10,1.01
138,hokitika,RU,1612650329,51.9333,116.6333,-16.53,84,54,1.21
139,hokitika,IN,1612650329,17.7167,73.3833,69.57,32,48,3.62
140,hokitika,US,1612650329,21.3906,-158.1547,77.0,50,40,12.66
141,hokitika,BR,1612650330,-7.4706,-34.8086,80.6,78,20,5.75
142,hokitika,BO,1612650330,-17.8,-63.1667,86.0,48,20,2.3
143,hokitika,US,1612650316,34.6182,-79.0086,50.0,49,90,4.61
144,hokitika,MZ,1612650331,-23.865,35.3833,77.2,87,97,7.67
145,hokitika,ZA,1612650331,-33.0117,17.9442,66.2,82,2,8.05
146,hokitika,BR,1612650331,-5.1989,-35.4608,78.8,78,40,4.61
147,hokitika,IS,1612650332,65.0757,-22.7297,27.16,89,44,10.13
148,hokitika,PH,1612650333,12.1791,125.5072,80.37,85,91,15.93
149,hokitika,BR,1612650333,-12.7406,-60.1458,77.0,88,40,4.61
150,hokitika,DO,1612650334,19.7667,-70.5167,80.6,74,20,11.5
151,hokitika,AU,1612650334,-23.3833,150.5,82.4,65,60,3.44
152,hokitika,CL,1612650334,-35.3333,-72.4167,63.37,74,21,5.17
153,hokitika,RU,1612650334,63.2842,118.3319,-32.69,84,17,2.01
154,hokitika,SN,1612650335,14.905,-12.4568,76.55,19,100,9.75
155,hokitika,UA,1612650335,51.7688,32.2481,3.38,92,43,8.23
156,hokitika,CN,1612650335,40.2833,97.2,27.48,69,96,1.95
157,hokitika,ZA,1612650173,-33.0153,27.9116,74.71,87,8,2.46
158,hokitika,CA,1612650336,53.4001,-117.5857,1.4,55,100,13.8
159,hokitika,NO,1612650336,70.8578,29.0864,26.64,93,100,25.39
160,hokitika,RU,1612650336,55.5195,83.5094,25.2,97,93,10.71
161,hokitika,PT,1612650337,38.7333,-27.0667,60.8,82,40,12.62
162,hokitika,ML,1612650337,14.7328,-6.1219,80.67,15,100,11.25
163,hokitika,SE,1612650176,63.1792,14.6357,12.2,92,40,2.3
164,hokitika,SL,1612650337,7.4661,-11.2375,76.41,72,99,3.69
165,hokitika,CA,1612650338,62.456,-114.3525,-34.01,61,1,4.61
166,hokitika,AR,1612650338,-40.8135,-62.9967,69.01,58,25,1.01
167,hokitika,GB,1612650338,57.6638,-4.34,35.01,80,75,10.36
168,hokitika,PT,1612650339,39.05,-27.9833,60.37,87,100,24.43
169,hokitika,AU,1612650339,-34.7333,135.8667,61.75,73,71,12.41
170,hokitika,CL,1612650339,-29.9533,-71.3436,64.4,68,0,13.8
171,hokitika,NZ,1612650340,-35.1,173.7833,70.0,69,100,5.99
172,hokitika,MX,1612650340,18.7333,-103.6833,80.6,57,1,6.82
173,hokitika,US,1612650340,33.194,-82.5271,44.6,81,90,4.61
174,hokitika,IN,1612650341,11.93,79.83,70.23,83,0,9.24
175,hokitika,RU,1612650341,56.0498,97.6348,18.52,95,99,4.83
176,hokitika,RU,1612650341,56.2389,43.4631,-5.01,77,75,11.18
177,hokitika,MY,1612650298,5.4112,100.3354,80.01,83,20,6.26
178,hokitika,ID,1612650342,-6.2641,107.0712,80.01,100,75,3.44
179,hokitika,CA,1612650342,60.7522,-137.5108,-7.6,54,92,2.3
180,hokitika,RU,1612650342,68.75,161.3,-8.3,80,0,5.39
181,hokitika,AO,1612650343,-15.1961,12.1522,71.58,78,23,9.42
182,hokitika,US,1612650174,57.79,-152.4072,37.4,60,20,3.44
183,hokitika,BD,1612650343,20.8624,92.3058,61.77,62,0,6.71
184,hokitika,MX,1612650344,21.2833,-89.6667,95.0,33,20,6.91
185,hokitika,IT,1612650344,42.8548,13.5749,48.99,92,38,3.78
186,hokitika,IN,1612650345,21.1167,70.1167,65.59,35,0,11.81
187,hokitika,GP,1612650345,16.3332,-61.3473,75.2,88,75,3.44
188,hokitika,GT,1612650345,15.8,-91.75,82.4,21,0,6.91
189,hokitika,PG,1612650346,-6.2167,149.55,82.22,78,52,10.0
190,hokitika,CA,1612650346,54.1169,-112.4686,-11.2,58,88,4.61
191,hokitika,EE,1612650347,59.4236,27.5025,14.92,91,84,10.56
192,hokitika,PF,1612650347,-17.5333,-149.3333,84.2,58,20,12.66
193,hokitika,US,1612650348,40.6576,-73.5832,42.01,45,75,16.11
194,hokitika,US,1612650348,46.875,-96.9004,-7.01,59,40,17.27
195,hokitika,MV,1612650348,3.7833,72.9667,80.67,77,28,11.25
196,hokitika,GL,1612650348,72.7868,-56.1549,20.08,78,97,3.89
197,hokitika,MX,1612650349,21.2311,-86.731,82.4,78,40,13.8
198,hokitika,NZ,1612650349,-45.4167,167.7167,65.62,53,5,2.57
199,hokitika,MR,1612650350,20.931,-17.0347,62.6,72,0,17.27
200,hokitika,RU,1612650350,50.2814,113.2867,-6.48,86,64,4.14
201,hokitika,BR,1612650350,-15.8631,-38.8828,78.8,78,40,11.5
202,hokitika,QA,1612650351,25.2867,51.5333,70.0,83,0,12.66
203,hokitika,MX,1612650351,30.4833,-115.95,65.12,58,0,10.89
204,hokitika,AU,1612650351,-25.2406,130.9889,75.2,33,0,10.36
205,hokitika,ZM,1612650352,-9.7915,29.0791,64.92,96,100,6.11
206,hokitika,CN,1612650352,31.7667,104.7167,47.3,66,46,3.69
207,hokitika,MX,1612650353,17.9583,-102.2,81.41,61,0,7.85
208,hokitika,AR,1612650353,-34.6534,-58.6198,91.0,32,0,1.52
209,hokitika,CA,1612650353,63.7506,-68.5145,26.6,80,90,21.85
210,hokitika,JP,1612650354,43.3236,145.575,24.22,96,100,14.83
211,hokitika,CN,1612650354,43.5008,124.8198,-1.32,91,87,0.83
212,hokitika,GB,1612650354,57.4667,-1.7833,35.6,60,90,12.66
213,hokitika,US,1612650089,61.2181,-149.9003,16.0,85,90,5.75
214,hokitika,RU,1612650355,56.2875,70.4555,31.75,98,100,18.37
215,hokitika,RU,1612650355,46.4856,135.8833,-13.76,90,100,2.55
216,hokitika,AU,1612650355,-14.4667,132.2667,75.2,94,75,8.05
217,hokitika,RU,1612650356,61.15,149.6333,-13.25,85,95,5.19
218,hokitika,FI,1612650356,64.808,25.9931,8.6,92,0,9.22
219,hokitika,CA,1612650356,50.2334,-63.5986,30.2,100,90,8.05
220,hokitika,US,1612650356,42.0411,-87.6901,12.99,79,90,6.91
221,hokitika,ID,1612650357,1.3038,124.9112,75.2,100,40,1.41
222,hokitika,MV,1612650357,2.6708,72.8944,80.89,77,36,12.73
223,hokitika,CL,1612650357,-38.65,-72.2333,69.8,73,20,9.22
224,hokitika,GH,1612650358,4.8845,-1.7554,80.01,88,0,9.1
225,hokitika,RU,1612650358,55.7613,52.0649,-2.2,84,100,17.9
226,hokitika,LY,1612650358,31.7561,25.0865,61.45,60,25,6.02
227,hokitika,US,1612650153,37.2001,-94.3502,30.2,80,90,13.8
228,hokitika,CA,1612650359,50.6996,-127.4199,44.6,75,75,12.66
229,hokitika,PT,1612650360,33.0833,-16.3333,59.0,58,20,18.41
230,hokitika,NZ,1612650360,-46.1333,167.6833,67.35,56,0,1.86
231,hokitika,PE,1612650360,-11.0964,-77.6139,73.65,70,83,9.48
232,hokitika,CN,1612650360,38.0751,112.6595,23.0,50,0,4.47
233,hokitika,AO,1612650361,-11.2061,13.8437,75.88,84,77,7.34
234,hokitika,RU,1612650361,73.5069,80.5464,-28.37,86,90,9.98
235,hokitika,IT,1612650361,41.8431,12.8105,68.0,28,0,16.11
236,hokitika,RU,1612650362,50.9276,84.761,16.65,91,5,6.49
237,hokitika,PH,1612650362,7.9986,124.2928,72.0,90,100,5.01
238,hokitika,CN,1612650363,29.3848,104.0286,52.16,66,82,2.21
239,hokitika,KR,1612650281,37.5683,126.9778,35.6,100,90,6.91
240,hokitika,IN,1612650363,27.9167,96.1667,58.91,34,60,3.94
