,City,Country,Date,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
122,mouzakion,KI,1612591251,3.0707,172.7902,80.65,83,86,18.9
123,mouzakion,MX,1612591289,20.7,-105.2,68.0,88,1,2.98
124,mouzakion,CN,1612591421,45.6333,85.1833,21.65,87,100,2.57
125,mouzakion,RU,1612591421,52.2667,79.1667,31.08,98,98,9.89
126,mouzakion,CA,1612591287,62.456,-114.3525,-36.0,74,20,4.61
127,mouzakion,IN,1612591422,29.9833,75.3833,69.28,36,0,7.18
128,mouzakion,ZA,1612591149,-33.0153,27.9116,71.6,100,90,5.75
129,mouzakion,US,1612591130,34.6391,-120.4579,48.2,93,1,4.61
130,mouzakion,NC,1612591241,-22.2763,166.4572,81.0,78,90,9.22
131,mouzakion,PH,1612591424,12.7667,120.7833,85.62,63,54,5.46
132,mouzakion,CA,1612591349,48.9329,-125.5528,44.01,89,17,8.48
133,mouzakion,CA,1612591424,47.6666,-52.7314,34.0,93,90,21.85
134,mouzakion,PT,1612591425,32.6667,-17.1,52.0,69,49,1.01
135,mouzakion,PH,1612591425,14.3122,121.1114,86.0,66,75,4.61
136,mouzakion,AU,1612591425,-33.8667,121.9,66.2,72,90,14.97
137,mouzakion,CL,1612591426,-28.5708,-70.7581,60.39,72,0,2.28
138,mouzakion,RU,1612591427,66.7697,123.3711,-37.8,78,40,6.55
139,mouzakion,AL,1612591427,42.3554,20.0784,46.4,93,75,2.3
140,mouzakion,NG,1612591427,7.3833,8.5667,70.32,26,0,4.05
141,mouzakion,ID,1612591428,-0.8917,119.8707,87.75,58,99,5.19
142,mouzakion,GN,1612591428,11.6667,-9.5,68.97,22,1,2.1
143,mouzakion,MR,1612591428,18.0858,-15.9785,57.2,72,99,11.5
144,mouzakion,PF,1612591429,-17.5333,-149.3333,80.6,69,40,3.44
145,mouzakion,PE,1612591429,-11.5714,-77.2672,72.0,88,75,10.36
146,mouzakion,US,1612591430,42.097,-79.2353,21.0,93,90,12.66
147,mouzakion,US,1612591431,19.7297,-155.09,71.6,68,75,3.2
148,mouzakion,JP,1612591431,35.1333,140.3,62.01,44,20,12.66
149,mouzakion,CL,1612591431,-25.4,-70.4833,62.19,80,49,3.44
150,mouzakion,ZA,1612591392,-33.918,25.5701,71.6,88,75,4.61
151,mouzakion,MX,1612591155,22.8909,-109.9124,64.99,44,10,5.53
152,mouzakion,RO,1612591434,44.55,28.05,39.2,100,90,5.75
153,mouzakion,CL,1612591261,-35.3333,-72.4167,55.85,88,2,1.81
154,mouzakion,ZA,1612591434,-34.0527,23.3716,71.58,69,0,4.9
155,mouzakion,IT,1612591435,46.6166,10.7002,39.99,93,75,6.91
156,mouzakion,PF,1612591435,-16.4833,-151.75,81.54,65,1,5.03
157,mouzakion,RU,1612591435,73.5069,80.5464,-29.06,85,64,10.04
158,mouzakion,GL,1612591274,77.484,-69.3632,0.86,79,100,7.94
159,mouzakion,NZ,1612591436,-46.2817,169.8464,62.11,69,59,4.65
160,mouzakion,ZA,1612591185,-34.0033,24.7314,72.0,82,31,1.99
161,mouzakion,RU,1612591437,59.0556,80.8572,19.22,97,100,10.25
162,mouzakion,IS,1612591438,66.0449,-17.3389,35.6,64,90,12.66
